Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
67,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/67.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/67.cnf,"Final circuit size: 461 Estimated probability 0.08762223 (epsilon 0) found in 0 seconds ",
73,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/73.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/73.cnf,"Final circuit size: 158 Estimated probability 0.00029877 (epsilon 0) found in 0 seconds ",
72,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/72.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/72.cnf,"Final circuit size: 200 Estimated probability 0.00033388 (epsilon 0) found in 0 seconds ",
76,:,1737406694.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/76.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/76.cnf,"Final circuit size: 75 Estimated probability 0.00003056 (epsilon 0) found in 0 seconds ",
69,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/69.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/69.cnf,"Final circuit size: 461 Estimated probability 0.42242241 (epsilon 0) found in 0 seconds ",
75,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/75.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/75.cnf,"Final circuit size: 158 Estimated probability 0.00001553 (epsilon 0) found in 0 seconds ",
68,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/68.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/68.cnf,"Final circuit size: 461 Estimated probability 0.41793219 (epsilon 0) found in 0 seconds ",
70,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/70.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/70.cnf,"Final circuit size: 461 Estimated probability 0.07029657 (epsilon 0) found in 0 seconds ",
74,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/74.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/74.cnf,"Final circuit size: 158 Estimated probability 0.00006160 (epsilon 0) found in 0 seconds ",
71,:,1737406694.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/71.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/71.cnf,"Final circuit size: 449 Estimated probability 0.00093636 (epsilon 0) found in 0 seconds ",
77,:,1737406694.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/77.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/77.cnf,"Final circuit size: 75 Estimated probability 0.00003072 (epsilon 0) found in 0 seconds ",
78,:,1737406694.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/78.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/78.cnf,"Final circuit size: 67 Estimated probability 0.00001918 (epsilon 0) found in 0 seconds ",
9,:,1737406693.000,4.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/9.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/9.cnf,"Final circuit size: 10719 Estimated probability 0.02381500 (epsilon 0.000000007429473036779655) found in 2 seconds ",
6,:,1737406693.000,4.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/6.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/6.cnf,"Final circuit size: 10849 Estimated probability 0.31840937 (epsilon 0.0000000005556775040105322) found in 2 seconds ",
3,:,1737406693.000,4.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/3.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/3.cnf,"Final circuit size: 9571 Estimated probability 0.00103195 (epsilon 0) found in 3 seconds ",
4,:,1737406693.000,5.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/4.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/4.cnf,"Final circuit size: 10574 Estimated probability 0.08404993 (epsilon 0.000000002076491867342156) found in 4 seconds ",
18,:,1737406693.000,5.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/18.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/18.cnf,"Final circuit size: 15077 Estimated probability 0.00125371 (epsilon 0.00000003454801733582258) found in 4 seconds ",
28,:,1737406693.000,6.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/28.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/28.cnf,"Final circuit size: 15269 Estimated probability 0.23581937 (epsilon 0.0000000030287752306179527) found in 4 seconds ",
30,:,1737406693.000,6.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/30.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/30.cnf,"Final circuit size: 15124 Estimated probability 0.16615402 (epsilon 0.000000004298685185588624) found in 4 seconds ",
27,:,1737406693.000,6.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/27.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/27.cnf,"Final circuit size: 15266 Estimated probability 0.13037389 (epsilon 0.000000005478427489435944) found in 4 seconds ",
24,:,1737406693.000,6.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/24.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/24.cnf,"Final circuit size: 15162 Estimated probability 0.00828520 (epsilon 0.00000008808157669903949) found in 4 seconds ",
7,:,1737406693.000,6.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/7.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/7.cnf,"Final circuit size: 10832 Estimated probability 0.10716503 (epsilon 0.0000000016510324218899086) found in 4 seconds ",
5,:,1737406693.000,6.000,0,117,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/5.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/5.cnf,"Final circuit size: 10566 Estimated probability 0.38245172 (epsilon 0.00000000046262815800446333) found in 4 seconds ",
8,:,1737406693.000,6.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/8.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/8.cnf,"Final circuit size: 10863 Estimated probability 0.03945769 (epsilon 0.000000004484117077652172) found in 4 seconds ",
11,:,1737406693.000,6.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/11.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/11.cnf,"Final circuit size: 10637 Estimated probability 0.01513615 (epsilon 0.000000011689426759886601) found in 4 seconds ",
12,:,1737406693.000,6.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/12.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/12.cnf,"Final circuit size: 10179 Estimated probability 0.00983748 (epsilon 0.0000000003782321122969279) found in 5 seconds ",
10,:,1737406693.000,7.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/10.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/10.cnf,"Final circuit size: 10721 Estimated probability 0.01854325 (epsilon 0.000000009541633483323153) found in 5 seconds ",
21,:,1737406693.000,9.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/21.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/21.cnf,"Final circuit size: 15213 Estimated probability 0.00154972 (epsilon 0.00000010196431077247325) found in 7 seconds ",
31,:,1737406693.000,9.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/31.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/31.cnf,"Final circuit size: 15339 Estimated probability 0.06830679 (epsilon 0.000000010456410848291853) found in 7 seconds ",
25,:,1737406693.000,9.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/25.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/25.cnf,"Final circuit size: 15416 Estimated probability 0.01946047 (epsilon 0.000000037500318850192116) found in 7 seconds ",
23,:,1737406693.000,10.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/23.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/23.cnf,"Final circuit size: 14952 Estimated probability 0.00447953 (epsilon 0.00000016291310100946532) found in 7 seconds ",
20,:,1737406693.000,10.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/20.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/20.cnf,"Final circuit size: 15151 Estimated probability 0.00141322 (epsilon 0.00000003064845865985433) found in 7 seconds ",
19,:,1737406693.000,10.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/19.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/19.cnf,"Final circuit size: 15157 Estimated probability 0.00114808 (epsilon 0.00000003772666201662389) found in 7 seconds ",
22,:,1737406693.000,10.000,0,113,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/22.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/22.cnf,"Final circuit size: 15185 Estimated probability 0.00226417 (epsilon 0.0000000655200906862774) found in 7 seconds ",
