Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
67,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/67.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/67.cnf,"Estimated probability 8.7622231e-2 with bounds [8.7622231e-2 8.7622231e-2] (epsilon 0) found in 0 seconds ",
69,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/69.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/69.cnf,"Estimated probability 4.2242241e-1 with bounds [4.2242241e-1 4.2242241e-1] (epsilon 0) found in 0 seconds ",
68,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/68.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/68.cnf,"Estimated probability 4.1793219e-1 with bounds [4.1793219e-1 4.1793219e-1] (epsilon 0) found in 0 seconds ",
73,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/73.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/73.cnf,"Estimated probability 2.9877111e-4 with bounds [2.9877111e-4 2.9877111e-4] (epsilon 0) found in 0 seconds ",
75,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/75.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/75.cnf,"Estimated probability 1.5534765e-5 with bounds [1.5534764e-5 1.5534765e-5] (epsilon 0) found in 0 seconds ",
71,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/71.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/71.cnf,"Estimated probability 9.3636439e-4 with bounds [9.3636439e-4 9.3636439e-4] (epsilon 0) found in 0 seconds ",
72,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/72.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/72.cnf,"Estimated probability 3.3388296e-4 with bounds [3.3388296e-4 3.3388296e-4] (epsilon 0) found in 0 seconds ",
70,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/70.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/70.cnf,"Estimated probability 7.0296568e-2 with bounds [7.0296568e-2 7.0296568e-2] (epsilon 0) found in 0 seconds ",
74,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/74.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/74.cnf,"Estimated probability 6.1598069e-5 with bounds [6.1598069e-5 6.1598069e-5] (epsilon 0) found in 0 seconds ",
76,:,1737448180.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/76.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/76.cnf,"Estimated probability 3.0557350e-5 with bounds [3.0557350e-5 3.0557350e-5] (epsilon 0) found in 0 seconds ",
