Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
73,:,1737464069.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/73.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/73.cnf,"lower 2.98771112042032162875173810216417200e-4 upper 9.99701191315677078530133033529815683e-1 Final circuit size: 158 Estimated probability 0.00029877 (epsilon 0) found in 0 seconds ",
69,:,1737464069.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/69.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/69.cnf,"lower 4.22422409889008692010610264007339210e-1 upper 5.77577580110991433833858683218407007e-1 Final circuit size: 461 Estimated probability 0.42242241 (epsilon 0) found in 0 seconds ",
71,:,1737464069.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/71.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/71.cnf,"lower 9.36364388751784372252383952191068877e-4 upper 9.99063625611248339792787414887800019e-1 Final circuit size: 449 Estimated probability 0.00093636 (epsilon 0) found in 0 seconds ",
68,:,1737464068.000,1.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/68.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/68.cnf,"lower 4.17932185382453103701165264939596357e-1 upper 5.82067804617547021068859340097458406e-1 Final circuit size: 461 Estimated probability 0.41793219 (epsilon 0) found in 0 seconds ",
67,:,1737464068.000,1.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/67.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/67.cnf,"lower 8.76222307332333642207374014342010377e-2 upper 9.12377759266766760549287203602853605e-1 Final circuit size: 461 Estimated probability 0.08762223 (epsilon 0) found in 0 seconds ",
72,:,1737464069.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/72.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/72.cnf,"lower 3.33882958630619780418727652258748268e-4 upper 9.99666079966937881884147166765155207e-1 Final circuit size: 200 Estimated probability 0.00033388 (epsilon 0) found in 0 seconds ",
74,:,1737464069.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/74.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/74.cnf,"lower 6.15980685393419873963538696136495953e-5 upper 9.99938364359179772017130668438597293e-1 Final circuit size: 158 Estimated probability 0.00006160 (epsilon 0) found in 0 seconds ",
76,:,1737464069.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/76.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/76.cnf,"lower 3.05573495156461285952883383138265746e-5 upper 9.99969404740220253969923394922065332e-1 Final circuit size: 75 Estimated probability 0.00003056 (epsilon 0) found in 0 seconds ",
75,:,1737464069.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/75.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/75.cnf,"lower 1.55347641451077995950223031283867110e-5 upper 9.99984427663574006204932000005082588e-1 Final circuit size: 158 Estimated probability 0.00001553 (epsilon 0) found in 0 seconds ",
77,:,1737464069.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/77.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/77.cnf,"lower 3.07184603215282684912962784816192935e-5 upper 9.99969243629414371830027386981897548e-1 Final circuit size: 75 Estimated probability 0.00003072 (epsilon 0) found in 0 seconds ",
