Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/1.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/1.cnf,"Final circuit size: 108 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
2,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/2.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/2.cnf,"Final circuit size: 162 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
3,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/3.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/3.cnf,"Final circuit size: 108 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
4,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/4.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/4.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
5,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/5.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/5.cnf,"Final circuit size: 34 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
6,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/6.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/6.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
7,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/7.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/7.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
8,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/8.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/8.cnf,"Final circuit size: 34 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
9,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/9.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/9.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
10,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/10.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/10.cnf,"Final circuit size: 4098 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
