Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1737463787.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/1.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/1.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 108 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
2,:,1737463787.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/2.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/2.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 162 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
3,:,1737463787.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/3.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/3.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 108 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
4,:,1737463787.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/4.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/4.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
5,:,1737463787.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/5.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/5.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 34 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
6,:,1737463787.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/6.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/6.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
7,:,1737463787.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/7.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/7.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
8,:,1737463787.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/8.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/8.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 34 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
9,:,1737463787.000,0.000,0,181,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/9.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/9.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
10,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/10.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/10.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4102 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
11,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/11.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/11.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 5115 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
12,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/12.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/12.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4128 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
13,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/13.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/13.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4128 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
22,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/22.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/22.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 1243 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
14,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/14.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/14.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 5111 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
15,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/15.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/15.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4092 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
16,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/16.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/16.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4062 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
17,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/17.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/17.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 5115 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
23,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/23.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/23.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 1858 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
18,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/18.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/18.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4118 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
19,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/19.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/19.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4126 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
20,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/20.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/20.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 5111 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
21,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/21.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/21.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 4086 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
24,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/24.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/24.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 1243 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
25,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/25.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/25.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 1243 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
26,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/26.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/26.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 1858 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
27,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/27.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/27.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 1243 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
28,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/28.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/28.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 1240 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
29,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/29.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/29.cnf,"lower 5.00000000000000000000000000000000000e-1 upper 5.00000000000000000000000000000000000e-1 Final circuit size: 1858 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
30,:,1737463787.000,0.000,0,183,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/30.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/30.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 1240 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
31,:,1737463787.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/31.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/31.cnf,"lower 2.50000000000000000000000000000000000e-1 upper 7.50000000000000000000000000000000000e-1 Final circuit size: 386 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
