Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1737405790.000,1.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/1.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/1.cnf,"Final circuit size: 100 Estimated probability 0.20081250 (epsilon 0) found in 0 seconds ",
2,:,1737405790.000,1.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/2.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/2.cnf,"Final circuit size: 110 Estimated probability 0.39103125 (epsilon 0) found in 0 seconds ",
6,:,1737405790.000,1.000,0,111,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/6.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/6.cnf,"Final circuit size: 68 Estimated probability 0.54508795 (epsilon 0.00000009171914028271999) found in 0 seconds ",
4,:,1737405790.000,1.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/4.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/4.cnf,"Final circuit size: 100 Estimated probability 0.13953125 (epsilon 0) found in 0 seconds ",
3,:,1737405790.000,1.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/3.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/3.cnf,"Final circuit size: 110 Estimated probability 0.26862500 (epsilon 0) found in 0 seconds ",
5,:,1737405790.000,1.000,0,110,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/5.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/5.cnf,"Final circuit size: 68 Estimated probability 0.22745598 (epsilon 0.0000002198007504894406) found in 0 seconds ",
7,:,1737405790.000,1.000,0,110,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/7.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/7.cnf,"Final circuit size: 68 Estimated probability 0.22745598 (epsilon 0.0000002198007507114852) found in 0 seconds ",
14,:,1737405790.000,1.000,0,111,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/14.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/14.cnf,"Final circuit size: 621 Estimated probability 0.15112615 (epsilon 0.0000003308162799253722) found in 0 seconds ",
12,:,1737405790.000,1.000,0,102,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/12.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/12.cnf,"Final circuit size: 2 Estimated probability 0.00000000 (epsilon 99.00000001384667) found in 0 seconds ",
13,:,1737405790.000,1.000,0,113,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/13.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/13.cnf,"Final circuit size: 452 Estimated probability 0.84887375 (epsilon 0.000000058895682331083776) found in 0 seconds ",
23,:,1737405790.000,1.000,0,112,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/23.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/23.cnf,"Final circuit size: 306 Estimated probability 0.54996644 (epsilon 0.00000009090554331514511) found in 0 seconds ",
25,:,1737405790.000,1.000,0,102,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/25.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/25.cnf,"Final circuit size: 2 Estimated probability 0.00000000 (epsilon 99.00000000075025) found in 0 seconds ",
24,:,1737405790.000,1.000,0,112,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/24.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/24.cnf,"Final circuit size: 263 Estimated probability 0.45003346 (epsilon 0.00000011109173292389585) found in 0 seconds ",
28,:,1737405790.000,3.000,0,112,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/28.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/28.cnf,"Final circuit size: 4926 Estimated probability 0.09106234 (epsilon 0.0000005490193211166172) found in 2 seconds ",
27,:,1737405790.000,3.000,0,113,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/27.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/27.cnf,"Final circuit size: 5788 Estimated probability 0.90477579 (epsilon 0.00000005525678226092623) found in 2 seconds ",
26,:,1737405790.000,3.000,0,110,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/26.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/26.cnf,"Final circuit size: 4760 Estimated probability 0.00416175 (epsilon 0.00001201290794505816) found in 2 seconds ",
29,:,1737405790.000,4.000,0,105,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/29.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/29.cnf,"Final circuit size: 445 Estimated probability 0.00000002 (epsilon 1.4466383967983187) found in 3 seconds ",
16,:,1737405790.000,17.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/16.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/16.cnf,"Final circuit size: 22473 Estimated probability 0.26167695 (epsilon 0.00000019105616488879207) found in 16 seconds ",
