Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
3,:,1737446841.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/3.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/3.cnf,"Estimated probability 2.6862500e-1 with bounds [2.6862500e-1 2.6862500e-1] (epsilon 0) found in 0 seconds ",
4,:,1737446841.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/4.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/4.cnf,"Estimated probability 1.3953125e-1 with bounds [1.3953125e-1 1.3953125e-1] (epsilon 0) found in 0 seconds ",
2,:,1737446841.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/2.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/2.cnf,"Estimated probability 3.9103125e-1 with bounds [3.9103125e-1 3.9103125e-1] (epsilon 0) found in 0 seconds ",
1,:,1737446841.000,1.000,0,106,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/1.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/1.cnf,"Estimated probability 2.0081250e-1 with bounds [2.0081250e-1 2.0081250e-1] (epsilon 0) found in 0 seconds ",
5,:,1737446841.000,1.000,0,129,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/5.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/5.cnf,"Estimated probability 2.2745603e-1 with bounds [2.2745598e-1 2.2745608e-1] (epsilon 0.0000002198007504894406) found in 0 seconds ",
7,:,1737446841.000,1.000,0,129,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/7.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/7.cnf,"Estimated probability 2.2745603e-1 with bounds [2.2745598e-1 2.2745608e-1] (epsilon 0.0000002198007507114852) found in 0 seconds ",
6,:,1737446841.000,1.000,0,130,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/6.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/6.cnf,"Estimated probability 5.4508800e-1 with bounds [5.4508795e-1 5.4508805e-1] (epsilon 0.00000009171914028271999) found in 0 seconds ",
12,:,1737446841.000,1.000,0,100,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/12.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/12.cnf,"Estimated probability 0 with bounds [0 1.0000000e-7] (epsilon 99.00000001384667) found in 0 seconds ",
14,:,1737446841.000,1.000,0,129,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/14.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/14.cnf,"Estimated probability 1.5112620e-1 with bounds [1.5112615e-1 1.5112625e-1] (epsilon 0.0000003308162799253722) found in 0 seconds ",
13,:,1737446841.000,1.000,0,131,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/13.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/13.cnf,"Estimated probability 8.4887380e-1 with bounds [8.4887375e-1 8.4887385e-1] (epsilon 0.000000058895682331083776) found in 0 seconds ",
24,:,1737446841.000,1.000,0,130,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/24.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/24.cnf,"Estimated probability 4.5003351e-1 with bounds [4.5003346e-1 4.5003356e-1] (epsilon 0.00000011109173292389585) found in 0 seconds ",
25,:,1737446841.000,1.000,0,100,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/25.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/25.cnf,"Estimated probability 0 with bounds [0 1.0000000e-7] (epsilon 99.00000000075025) found in 0 seconds ",
23,:,1737446841.000,1.000,0,130,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/23.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/23.cnf,"Estimated probability 5.4996649e-1 with bounds [5.4996644e-1 5.4996654e-1] (epsilon 0.00000009090554331514511) found in 0 seconds ",
28,:,1737446841.000,3.000,0,129,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/28.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/28.cnf,"Estimated probability 9.1062394e-2 with bounds [9.1062344e-2 9.1062444e-2] (epsilon 0.0000005490193211166172) found in 2 seconds ",
27,:,1737446841.000,3.000,0,130,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/27.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/27.cnf,"Estimated probability 9.0477584e-1 with bounds [9.0477579e-1 9.0477589e-1] (epsilon 0.00000005525678226092623) found in 2 seconds ",
26,:,1737446841.000,3.000,0,127,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/26.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/26.cnf,"Estimated probability 4.1617983e-3 with bounds [4.1617483e-3 4.1618483e-3] (epsilon 0.00001201290794505816) found in 2 seconds ",
29,:,1737446841.000,3.000,0,123,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/29.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/29.cnf,"Estimated probability 4.9052635e-8 with bounds [2.0043993e-8 1.2004399e-7] (epsilon 1.4466383967983187) found in 2 seconds ",
20,:,1737446841.000,16.000,0,132,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/20.cnf | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/20.cnf,"Estimated probability 9.6937778e-1 with bounds [9.6937773e-1 9.6937783e-1] (epsilon 0.000000051574321702219095) found in 15 seconds ",
