Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
1,:,1737462656.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/1.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/1.cnf,"lower 2.00812500000000016840695504782843828e-1 upper 7.99187500000000047344073106359020350e-1 Final circuit size: 100 Estimated probability 0.20081250 (epsilon 0) found in 0 seconds ",
3,:,1737462656.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/3.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/3.cnf,"lower 2.68625000000000015262097141643949413e-1 upper 7.31375000000000048922671469497914621e-1 Final circuit size: 110 Estimated probability 0.26862500 (epsilon 0) found in 0 seconds ",
5,:,1737462656.000,0.000,0,204,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/5.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/5.cnf,"lower 2.27455977254399993159477023141334653e-1 upper 7.72543922745599929487502737712747214e-1 Final circuit size: 68 Estimated probability 0.22745598 (epsilon 0.0000002198007504894406) found in 0 seconds ",
4,:,1737462656.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/4.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/4.cnf,"lower 1.39531249999999999583666365765566598e-1 upper 8.60468750000000064601102245376297629e-1 Final circuit size: 100 Estimated probability 0.13953125 (epsilon 0) found in 0 seconds ",
2,:,1737462656.000,0.000,0,182,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/2.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/2.cnf,"lower 3.91031250000000037728500879019579197e-1 upper 6.08968750000000026456267732122284934e-1 Final circuit size: 110 Estimated probability 0.39103125 (epsilon 0) found in 0 seconds ",
6,:,1737462656.000,0.000,0,205,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/6.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/6.cnf,"lower 5.45087945491199955146304100139787969e-1 upper 4.54911954508799967500675660714293825e-1 Final circuit size: 68 Estimated probability 0.54508795 (epsilon 0.00000009171914028271999) found in 0 seconds ",
7,:,1737462656.000,0.000,0,204,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/7.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/7.cnf,"lower 2.27455977254399993159477023141334629e-1 upper 7.72543922745599929487502737712747117e-1 Final circuit size: 68 Estimated probability 0.22745598 (epsilon 0.0000002198007507114852) found in 0 seconds ",
12,:,1737462656.000,0.000,0,157,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/12.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/12.cnf,"lower 0 upper 9.99999899999999627782836556737048324e-1 Final circuit size: 2 Estimated probability 0.00000000 (epsilon 99.00000001384667) found in 0 seconds ",
14,:,1737462656.000,0.000,0,205,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/14.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/14.cnf,"lower 1.51126153037824619455191467952582417e-1 upper 8.48873746962175330023002290552314154e-1 Final circuit size: 601 Estimated probability 0.15112615 (epsilon 0.0000003308162799253722) found in 0 seconds ",
13,:,1737462656.000,0.000,0,207,0,0,"schlandals --timeout 1500 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/13.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/water/13.cnf,"lower 8.48873746962175372596227740126438503e-1 upper 1.51126153037824562936625295508390275e-1 Final circuit size: 452 Estimated probability 0.84887375 (epsilon 0.000000058895682331083776) found in 0 seconds ",
