Instance,Proba
1 18 0,1.81185e-05
1 18 1,8.43122e-05
1 18 2,0.00103195
1 18 3,0.0840499
1 18 4,0.382452
1 18 5,0.318409
1 18 6,0.107165
1 18 7,0.0394577
1 18 8,0.023815
1 18 9,0.0185432
1 18 10,0.0151361
1 33 0,0.00815439
1 33 1,1.48242e-05
1 33 2,0.000620078
1 33 3,0.000948996
1 33 4,0.00124345
1 33 5,0.00125371
1 33 6,0.00114808
1 33 7,0.00141322
1 33 8,0.00154972
1 33 9,0.00226417
1 33 10,0.00447953
1 33 11,0.0082852
1 33 12,0.0194605
1 33 13,0.0446338
1 33 14,0.130374
1 33 15,0.235819
1 33 16,0.28201
1 33 17,0.166154
1 33 18,0.0683068
1 38 0,0.0203373
1 38 1,0.0135421
1 38 2,0.0119278
1 38 3,0.0125577
1 38 4,0.0135098
1 38 5,0.0143065
1 38 6,0.0169116
1 38 7,0.0213858
1 38 8,0.0292727
1 38 9,0.0764895
1 38 10,0.214955
1 38 11,0.307071
1 38 12,0.192183
1 38 13,0.0498215
1 48 0,0.00815439
1 48 1,0.000470956
1 48 2,0.0088597
1 48 3,0.00613199
1 48 4,0.00464272
1 48 5,0.00362507
1 48 6,0.00748879
1 48 7,0.0106475
1 48 8,0.012784
1 48 9,0.0157335
1 48 10,0.0166542
1 48 11,0.0189204
1 48 12,0.0359716
1 48 13,0.105319
1 48 14,0.271508
1 48 15,0.292532
1 48 16,0.14313
1 48 17,0.0328654
1 54 0,0.0876222
1 54 1,0.417932
1 54 2,0.422422
1 54 3,0.0702965
1 54 4,0.000936364
1 54 5,0.000333883
1 54 6,0.000298771
1 54 7,6.15981e-05
1 54 8,1.55348e-05
1 54 9,3.05573e-05
1 54 10,3.07184e-05
1 71 0,0.0072393
1 71 1,0.000150825
1 71 2,0.00095892
1 71 3,0.00119915
1 71 4,0.00136708
1 71 5,0.00132029
1 71 6,0.00166199
1 71 7,0.0025963
1 71 8,0.00445347
1 71 9,0.010349
1 71 10,0.0116817
1 71 11,0.019079
1 71 12,0.0562987
1 71 13,0.155151
1 71 14,0.272898
1 71 15,0.263294
1 71 16,0.138982
1 71 17,0.0428319
1 108 0,0.0123169
1 108 1,0.00289141
1 108 2,0.00329493
1 108 3,0.00434504
1 108 4,0.00605056
1 108 5,0.00814204
1 108 6,0.0106955
1 108 7,0.0146037
1 108 8,0.0217859
1 108 9,0.0395503
1 108 10,0.0846599
1 108 11,0.162292
1 108 12,0.224522
1 108 13,0.207247
1 108 14,0.125703
1 108 15,0.0527619
1 116 0,0.00489447
1 116 1,0.110194
1 116 2,0.424112
1 116 3,0.296735
1 116 4,0.0683477
1 116 5,0.0280767
1 116 6,0.0237382
1 116 7,0.0158153
1 116 8,0.00471379
1 116 9,0.00311793
1 116 10,0.00281456
1 116 11,0.00250517
1 116 12,0.00162084
1 116 13,0.00223875
1 116 14,0.00177676
1 116 15,0.000829767
1 116 16,0.000660381
1 116 17,0.000567231
1 118 0,0.820403
1 118 1,0.119695
1 118 2,0.0322402
1 118 3,0.00962933
1 118 4,0.00597519
1 119 0,0.140365
1 120 0,0.79117
1 120 1,0.160122
1 120 2,0.0407967
1 121 0,0.104296
1 121 1,0.829543
1 122 0,0.0327156
1 122 1,0.0725531
1 122 2,0.843753
1 122 3,0.0395532
1 124 0,9.74945e-05
1 124 1,0.000191924
1 124 2,0.000390561
1 124 3,0.000797591
1 124 4,0.00153048
1 124 5,0.0030631
1 124 6,0.00716133
1 124 7,0.0214849
1 124 8,0.0619511
1 124 9,0.135957
1 124 10,0.209699
1 124 11,0.223245
1 124 12,0.165103
1 124 13,0.0882436
1 124 14,0.0385277
1 124 15,0.0177304
1 124 16,0.0102681
1 124 17,0.00682419
1 124 18,0.00463358
1 125 0,0.00675255
1 125 1,0.0578563
1 125 2,0.789781
1 125 3,0.121736
1 127 0,0.00144283
1 127 1,0.00301415
1 127 2,0.00671547
1 127 3,0.0214447
1 127 4,0.0714203
1 127 5,0.16938
1 127 6,0.252669
1 127 7,0.232452
1 127 8,0.135247
1 127 9,0.0560205
1 127 10,0.0226997
1 127 11,0.0119167
1 127 12,0.00702396
1 127 13,0.0039782
1 127 14,0.00225741
1 127 15,0.00128656
1 127 16,0.000680983
1 127 17,0.000306282
1 128 0,0.113349
1 128 1,0.733689
1 130 0,0.811206
1 131 0,0.867931
1 132 0,0.945679
1 133 0,0.0123253
1 133 1,0.000992991
1 133 2,0.00113078
1 133 3,0.00127179
1 133 4,0.00149644
1 133 5,0.00193777
1 133 6,0.00273589
1 133 7,0.00396454
1 133 8,0.00563877
1 133 9,0.00777456
1 133 10,0.0105157
1 133 11,0.014239
1 133 12,0.0207508
1 133 13,0.0380624
1 133 14,0.083328
1 133 15,0.161629
1 133 16,0.224947
1 133 17,0.208464
1 133 18,0.126719
1 133 19,0.0531225
1 134 0,0.945336
1 134 1,0.0225644
1 134 2,0.0107446
1 134 3,0.00135476
1 135 0,0.94884
1 135 1,0.0208892
1 135 2,0.0102089
1 136 0,0.944883
1 136 1,0.0227017
1 136 2,0.0109837
1 136 3,0.00140455
1 137 0,0.94496
1 137 1,0.0530333
1 137 2,0.00152102
1 153 0,0.898125
1 153 1,0.084849
1 163 0,0.902144
1 163 1,0.0978557
1 163 2,0.0
1 163 3,0.0
1 163 4,0.0
1 179 0,0.859924
1 179 1,0.0816983
1 179 2,0.0440414
1 180 0,0.986067
1 181 0,0.864453
1 183 0,0.5
1 184 0,0.5
1 185 0,0.5
1 204 0,0.00194808
1 204 1,0.00133438
1 204 2,0.00204127
1 204 3,0.00264461
1 204 4,0.00875773
1 204 5,0.0165108
1 204 6,0.112134
1 204 7,0.371522
1 204 8,0.327538
1 204 9,0.122629
1 204 10,0.0304762
1 228 0,0.00823894
1 228 1,0.0002023
1 228 2,0.00612154
1 228 3,0.00410889
1 228 4,0.00400728
1 228 5,0.00343517
1 228 6,0.00271596
1 228 7,0.00273356
1 228 8,0.00388353
1 228 9,0.00581819
1 228 10,0.00764332
1 228 11,0.010945
1 228 12,0.0256808
1 228 13,0.0600393
1 228 14,0.137574
1 228 15,0.199687
1 228 16,0.221674
1 228 17,0.153491
1 228 18,0.0929633
1 231 0,1.81185e-05
1 231 1,9.80122e-05
1 231 2,0.00143976
1 231 3,0.0940981
1 231 4,0.424138
1 231 5,0.344052
1 231 6,0.100351
1 231 7,0.0230265
1 231 8,0.00679683
1 231 9,0.00342551
1 231 10,0.00186669
1 235 0,0.00823894
1 235 1,2.87838e-05
1 235 2,0.000628577
1 235 3,0.00106859
1 235 4,0.00128217
1 235 5,0.00124232
1 235 6,0.00132358
1 235 7,0.0015464
1 235 8,0.00194372
1 235 9,0.00362106
1 235 10,0.00715175
1 235 11,0.0143679
1 235 12,0.042879
1 235 13,0.103025
1 235 14,0.205845
1 235 15,0.247449
1 235 16,0.202231
1 235 17,0.10043
1 235 18,0.040926
1 241 0,0.0137944
1 241 1,0.0089171
1 241 2,0.00815897
1 241 3,0.00858451
1 241 4,0.0104029
1 241 5,0.0141952
1 241 6,0.0214249
1 241 7,0.0503985
1 241 8,0.142832
1 241 9,0.273593
1 241 10,0.272254
1 241 11,0.137686
1 241 12,0.0335134
1 241 13,0.0039922
1 251 0,0.00823894
1 251 1,9.33324e-05
1 251 2,0.00162324
1 251 3,0.00283554
1 251 4,0.00315882
1 251 5,0.00281626
1 251 6,0.00277121
1 251 7,0.00274323
1 251 8,0.00248359
1 251 9,0.00384536
1 251 10,0.00693514
1 251 11,0.0147992
1 251 12,0.0490672
1 251 13,0.143601
1 251 14,0.293152
1 251 15,0.28374
1 251 16,0.137544
1 251 17,0.0347164
1 255 0,0.0973382
1 255 1,0.548205
1 255 2,0.316761
1 255 3,0.0255234
1 255 4,0.00278316
1 255 5,0.00304802
1 255 6,0.00244813
